id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,constellation,proper,ra,dec,dist_ly,x0,y0,z0,dist_src,mag,absmag,spect,ci,
1852788,5102-416-1,,89684,89962,168723,6869,Gl 711,Eta,Ser,,18.35516681,-2.89882468,60.4859612,1.719,-18.439,-0.938,HIP,3.23,1.889,K0 III-IV,0.941,
504866,734-2214-1,3330062833797919744,29452,29525,42807,2208,Gl 230,,Ori,,6.22013945,10.62714301,60.671242799999995,-1.053,18.25,3.43,G_R3,6.43,5.083,G6V,0.663,
294459,4725-1276-1,3256786534197166208,18813,18859,25457,1249,Gl 159,,Eri,,4.0435402,-0.26892363,61.022234000000005,9.168,16.306,-0.088,G_R3,5.38,4.02,F7/8 V,0.516,
998113,7696-2620-1,,46518,46651,82434,3786,Gl 351A,Psi,Vel,,9.51165788,-40.46674196,61.3735514,-11.383,8.679,-12.211,HIP,3.6,2.228,F2 IV,0.371,
1029091,3433-1531-1,821455861647126656,47977,48113,84737,3881,Gl 368,,UMa,,9.80982547,46.0210054,61.3993212,-10.98,7.09,13.545,G_R3,5.08,3.707,G1V,0.619,
2008081,7432-2718-1,,94854,95149,181321,7330,Gl 755,,Sgr,,19.35826745,-34.98343656,61.4312888,5.372,-14.464,-10.797,HIP,6.48,5.105,G1/2 V,0.628,
15072,5839-1081-1,2416611663182821120,908,910,693,33,Gl 10,,Cet,,0.18773843,-15.46798074,61.6064582,18.18,0.894,-5.037,G_R3,4.89,3.509,F5 V,0.487,
68183,4017-2318-1,427322415301550208,4142,4151,5015,244,Gl 41,,Cas,,0.884511,61.12397,61.661585999999993,8.885,2.095,16.553,G_R3,4.8,3.417,F8V,0.54,
639827,1907-321-1,887822001246832384,33928,34017,52711,2643,Gl 262,,Gem,,7.05846095,29.3370808,61.8139214,-4.519,15.889,9.284,G_R3,5.93,4.542,G8IV,0.595,
959153,2495-846-1,714116137767540096,44769,44897,78366,3625,Gl 334.2,,Lyn,,9.1475191,33.88221098,61.8142476,-11.545,10.686,10.564,G_R3,5.95,4.562,F 9 V,0.585,
2129930,3150-3061-1,2061876742143320064,98605,98921,190771,7683,GJ 1249,,Cyg,,20.08605,38.47846672,62.093801,7.74,-12.734,11.844,G_R3,6.18,4.782,G5IV,0.654,
1914354,1591-1918-1,,91756,92043,173667,7061,Gl 725.2,,Her,,18.76103487,20.54630642,62.658453200000004,3.56,-17.631,6.742,HIP,4.19,2.773,F5IV,0.483,
